"customerID","Contract","tenure","MonthlyCharges","TechSupport","churn_flag","churn_risk_score","churn_risk_level"
"7590-VHVEG",Month-to-month,1,29.85,No,0,7,High
"5575-GNVDE",One year,34,56.95,No,0,2,Low
"3668-QPYBK",Month-to-month,2,53.85,No,1,7,High
"7795-CFOCW",One year,45,42.3,Yes,0,2,Low
"9237-HQITU",Month-to-month,2,70.7,No,1,7,High
"9305-CDSKC",Month-to-month,8,99.65,No,1,7,High
"1452-KIOVK",Month-to-month,22,89.1,No,0,7,High
"6713-OKOMC",Month-to-month,10,29.75,No,0,4,Medium
"7892-POOKP",Month-to-month,28,104.8,Yes,1,7,High
"6388-TABGU",One year,62,56.15,No,0,2,Low
"9763-GRSKD",Month-to-month,13,49.95,No,0,2,Low
"7469-LKBCI",Two year,16,18.95,No internet service,0,2,Low
"8091-TTVAX",One year,58,100.35,No,0,7,High
"0280-XJGEX",Month-to-month,49,103.7,No,1,7,High
"5129-JLPIS",Month-to-month,25,105.5,Yes,0,7,High
"3655-SNQYZ",Two year,69,113.25,Yes,0,7,High
"8191-XWSZG",One year,52,20.65,No internet service,0,2,Low
"9959-WOFKT",Two year,71,106.7,No,0,7,High
"4190-MFLUW",Month-to-month,10,55.2,Yes,1,4,Medium
"4183-MYFRB",Month-to-month,21,90.05,No,0,7,High
"8779-QRDMV",Month-to-month,1,39.65,No,1,7,High
"1680-VDCWW",One year,12,19.8,No internet service,0,2,Low
"1066-JKSGK",Month-to-month,1,20.15,No internet service,1,7,High
"3638-WEABW",Two year,58,59.9,Yes,0,2,Low
"6322-HRPFA",Month-to-month,49,59.6,Yes,0,2,Low
"6865-JZNKO",Month-to-month,30,55.3,No,0,2,Low
"6467-CHFZW",Month-to-month,47,99.35,No,1,7,High
"8665-UTDHZ",Month-to-month,1,30.2,No,1,7,High
"5248-YGIJN",Two year,72,90.25,Yes,0,7,High
"8773-HHUOZ",Month-to-month,17,64.7,No,1,2,Low
"3841-NFECX",Two year,71,96.35,Yes,0,7,High
"4929-XIHVW",Month-to-month,2,95.5,No,0,7,High
"6827-IEAUQ",One year,27,66.15,Yes,0,2,Low
"7310-EGVHZ",Month-to-month,1,20.2,No internet service,0,7,High
"3413-BMNZE",Month-to-month,1,45.25,No,0,7,High
"6234-RAAPL",Two year,72,99.9,Yes,0,7,High
"6047-YHPVI",Month-to-month,5,69.7,No,1,7,High
"6572-ADKRS",Month-to-month,46,74.8,No,0,5,High
"5380-WJKOV",Month-to-month,34,106.35,No,1,7,High
"8168-UQWWF",Month-to-month,11,97.85,No,1,7,High
"8865-TNMNX",One year,10,49.55,No,0,4,Medium
"9489-DEDVP",Two year,70,69.2,No,0,2,Low
"9867-JCZSP",One year,17,20.75,No internet service,0,2,Low
"4671-VJLCL",Two year,63,79.85,Yes,0,5,High
"4080-IIARD",Month-to-month,13,76.2,Yes,0,5,High
"3714-NTNFO",Month-to-month,49,84.5,No,0,7,High
